"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)"
"7","Sid Meier's Civilization V","Sep 21, 2010","$29.99","95% (96%/90%)","9,893,300 ±83,527","173:22 (40:02)"
"9","Borderlands 2","Sep 17, 2012","$19.99","95% (96%/89%)","7,126,141 ±71,159","59:40 (23:37)"
"2","BioShock Infinite","Mar 25, 2013","$29.99","93% (95%/94%)","4,546,846 ±57,040","15:19 (10:51)"
"1","BioShock","Aug 21, 2007","Free","90% (94%/96%)","3,602,596 ±50,838","07:08 (02:43)"
"8","XCOM: Enemy Unknown","Oct 8, 2012","$29.99","93% (95%/89%)","3,442,598 ±49,707","49:23 (23:18)"
"12","BioShock 2","Feb 9, 2010","Free","77% (90%/88%)","3,181,560 ±47,802","07:44 (02:44)"
"16","Borderlands","Oct 26, 2009","$19.99","90% (94%/81%)","3,160,897 ±47,648","29:41 (12:38)"
"19","Mafia II","Mar 22, 2011","$29.99","90% (94%/77%)","2,528,869 ±42,655","28:51 (14:39)"
"21","Spec Ops: The Line","Jun 25, 2012","$29.99","90% (94%/76%)","1,679,973 ±34,806","06:18 (04:47)"
"3","Sid Meier's Civilization IV","Oct 25, 2006","$19.99","83% (92%/94%)","1,460,640 ±32,464","29:40 (02:57)"
"13","Sid Meier's Civilization IV: Beyond the Sword","Jul 24, 2007","$9.99","95% (96%/86%)","1,225,573 ±29,747","82:04 (09:31)"
"15","Sid Meier's Civilization IV: Colonization","Sep 23, 2008","$19.99","49% (80%/83%)","1,222,729 ±29,712","15:32 (01:07)"
"14","Sid Meier's Civilization IV: Warlords","Apr 6, 2007","$4.99","64% (86%/84%)","1,211,544 ±29,577","11:31 (00:51)"
"20","The Darkness II","Feb 6, 2012","$29.99","77% (90%/77%)","1,168,701 ±29,051","06:04 (04:03)"
"6","Sid Meier's Civilization III: Complete","Oct 25, 2006","$4.99","77% (90%/90%)","1,130,787 ±28,577","60:54 (02:17)"
"24","The Bureau: XCOM Declassified","Aug 19, 2013","$19.99","26% (67%/66%)","1,095,906 ±28,134","07:06 (02:53)"
"26","Duke Nukem Forever","Jun 13, 2011","$19.99","30% (70%/54%)","1,034,486 ±27,337","10:37 (04:04)"
"11","Sid Meier's Pirates!","Jul 11, 2005","$9.99","90% (94%/88%)","824,821 ±24,417","11:29 (03:33)"
"34","X-COM: UFO Defense","Sep 4, 2008","$4.99","95% (96%)","712,974 ±22,704","16:02 (01:39)"
"33","X-COM: Terror from the Deep","May 4, 2007","$4.99","80% (91%)","645,677 ±21,608","11:34 (00:35)"
"32","X-COM: Apocalypse","Sep 4, 2008","$4.99","77% (90%)","636,767 ±21,459","08:13 (00:15)"
"25","X-COM: Enforcer","Sep 4, 2008","$4.99","11% (52%/65%)","612,881 ±21,053","01:04 (00:15)"
"29","X-COM: Interceptor","Sep 4, 2008","$4.99","13% (55%)","612,502 ±21,046","01:01 (00:12)"
"31","Sid Meier's Ace Patrol","Aug 27, 2013","$4.99","34% (72%)","587,289 ±20,609","03:51 (01:57)"
"30","Sid Meier's Ace Patrol: Pacific Skies","Nov 5, 2013","$4.99","25% (66%)","581,981 ±20,516","03:15 (01:45)"
"18","Sid Meier's Railroads!","May 4, 2007","$9.99","25% (66%/77%)","549,944 ±19,944","12:09 (02:06)"
"4","Freedom Force","May 29, 2009","$4.99","26% (67%/90%)","258,384 ±13,676","02:48 (00:40)"
"17","Railroad Tycoon 3","May 4, 2007","$9.99","35% (73%/80%)","241,513 ±13,222","16:30 (01:45)"
"27","Freedom Force vs. the 3rd Reich","May 29, 2009","$4.99","67% (87%)","237,532 ±13,113","03:58 (00:33)"
"10","Railroad Tycoon 2: Platinum","May 4, 2007","$4.99","56% (83%/89%)","190,329 ±11,739","18:35 (02:00)"
"28","NBA 2K14","Oct 1, 2013","$29.99","35% (73%)","171,940 ±11,157","88:22 (23:16)"
"5","NBA 2K13","Oct 30, 2012","$29.99","54% (82%/90%)","100,662 ±8,538","88:16 (22:21)"
"22","CivCity: Rome","Apr 6, 2007","$9.99","49% (80%/67%)","76,586 ±7,447","12:53 (03:28)"
"23","Shattered Union","Oct 25, 2006","$4.99","4% (36%/67%)","41,895 ±5,508","04:32 (00:32)"
